Date,Open,High,Low,Close,Volume,Report
2018-04-10,390,392.25,388.5,389.25,250248,1
2018-04-11,389.25,390.5,385.75,387,134577,0
2018-04-12,386.5,389.25,385,388.75,180049,0
2018-04-13,388.5,389.25,385,386.25,215301,0
2018-04-16,385,386.25,382,382.5,158133,0
2018-04-17,383,384.5,379.75,380.25,219351,0
2018-04-18,380.75,383.5,380,383,125943,0
2018-04-19,382.75,383.5,380.75,382,91650,0
2018-04-20,381.25,381.75,376.25,376.5,135146,0
2018-04-23,376.5,379.25,376.25,378.5,109983,0
2018-04-24,378.5,381.5,377,381.25,79756,0
2018-04-25,381,387.25,380.5,386.5,111722,0
2018-04-26,386,387,384,386,117737,0
2018-04-27,385.25,390.5,385.25,389.5,161136,0
2018-04-30,390.75,395.75,390.5,392.5,18230,0
2018-05-01,393,397,391.5,396.75,7154,0
2018-05-02,396.25,397.25,395,396,3180,0
2018-05-03,396,399.5,395,399.5,1317,0
2018-05-04,399.5,400,397.5,398.75,2089,0
2018-05-07,397.25,397.25,393.25,393.25,1935,0
2018-05-08,392.75,396,391.25,395.5,2020,0
2018-05-09,396.25,397,394,394.75,911,0
2018-05-10,395.5,399.75,393.25,394.75,604,1
2018-05-11,394,394.75,389.75,389.75,497,0
2018-05-14,388.5,388.75,387.5,389,198,0
2018-05-15,396.25,402.5,396,402.25,174030,0
2018-05-16,401.75,404.75,398,399.25,160457,0
2018-05-17,399,402,395,395.25,137499,0
2018-05-18,395.25,403.5,395,402.5,171717,0
2018-05-21,405.5,407.5,401.25,402.75,171591,0
2018-05-22,402.25,407,401,404.75,153128,0
2018-05-23,404.5,409,403,408.5,147575,0
2018-05-24,408.25,412.25,403.75,404.25,222820,0
2018-05-25,404,406.75,403.25,406,115699,0
2018-05-29,408.75,410,397.5,400,223187,0
2018-05-30,398.25,398.5,390.75,393.5,270492,0
2018-05-31,393.5,398.5,393.25,394,174194,0
2018-06-01,393.75,397,390.75,391.5,157569,0
2018-06-04,389.75,389.75,380.5,380.75,241463,0
2018-06-05,380.75,385.25,380,383.75,194052,0
2018-06-06,384.25,386.5,378,378.25,207485,0
2018-06-07,379,382,374.25,376.25,274914,0
2018-06-08,376.25,379,373.5,377.75,155434,0
2018-06-11,376.5,379,366.75,367.25,256339,0
2018-06-12,368,379.5,367.25,377.5,278575,1
2018-06-13,377.5,379.75,373.25,376,203129,0
2018-06-14,374,374.75,362.5,363,339069,0
2018-06-15,364.5,368.25,355.25,361.25,286175,0
2018-06-18,355.75,356,349,356,20098,0
2018-06-19,355.75,357.75,338.75,353.75,309734,0
2018-06-20,354,357,347.5,354.25,176520,0
2018-06-21,354.25,359,349.25,357,142241,0
2018-06-22,358,359.75,355,357.25,119294,0
2018-06-25,358.5,359.5,349.25,350.5,170790,0
2018-06-26,350.5,355.5,348,352.5,201060,0
2018-06-27,352,356.5,351.5,352.5,146445,0
2018-06-28,351.5,352.5,344.5,345,137406,0
2018-06-29,345.75,355.5,345.5,350.25,18770,0
2018-07-02,352.25,352.25,337,337.5,7477,0
2018-07-03,340.25,345.25,339.25,342.75,3048,0
2018-07-05,345.5,348.75,342.25,343.5,3302,0
2018-07-06,342,352.25,342,351.75,3068,0
2018-07-09,346,348.5,343.25,345.75,3190,0
2018-07-10,344.25,344.75,336.25,339.75,2668,0
2018-07-11,336,337,331.5,331.25,1533,0
2018-07-12,332.25,340.75,329.75,336.5,495,1
2018-07-13,332.25,332.5,332.25,330.25,272,0
2018-07-16,340,345.75,338.75,341.75,81258,0
2018-07-17,345,348.75,344.25,346.25,87770,0
2018-07-18,346.25,349,346,347.25,71391,0
2018-07-19,347,352,345,351.25,70319,0
2018-07-20,351.25,355.75,349.75,355.25,58739,0
2018-07-23,356,358.5,354.5,357.25,62807,0
2018-07-24,355.25,356.5,351.5,352,88389,0
2018-07-25,352.25,360,352,359.25,109365,0
2018-07-26,361,365.75,360.25,361.5,131806,0
2018-07-27,361,363.75,359.5,362,114884,0
2018-07-30,364,369.25,363.5,367.25,110292,0
2018-07-31,367,374.25,366.25,372.25,118663,0
2018-08-01,372,373,364,365,102097,0
2018-08-02,365,372.75,364.75,366.75,142163,0
2018-08-03,366.75,371.25,364.75,369.75,62157,0
2018-08-06,370,371.75,368.25,371,64412,0
2018-08-07,371,373.25,368.75,370.75,138616,0
2018-08-08,370.5,373.75,370,371.25,100930,0
2018-08-09,371,372.75,366.5,369.25,125872,0
2018-08-10,368.5,369.75,357,357.75,161767,1
2018-08-13,355.75,358,352.25,356.5,154974,0
2018-08-14,356.5,363,356.5,362.25,85037,0
2018-08-15,362.25,363.5,359,361.5,81337,0
2018-08-16,361.5,367.5,360.5,365.25,62851,0
2018-08-17,365,367.75,361.75,364.25,68841,0
2018-08-20,365.25,366,359.5,362,76667,0
2018-08-21,362.75,363.75,358.5,359.75,79857,0
2018-08-22,359.25,359.25,352.25,352.5,84359,0
2018-08-23,353,355,346.25,346.75,119882,0
2018-08-24,346.5,350,346.25,348.5,96424,0
2018-08-27,348.5,348.75,343,346.75,114351,0
2018-08-28,345.75,347.75,340.75,341,120362,0
2018-08-29,341,344,340.25,341.25,95606,0
2018-08-30,341.5,344,340.5,341,117068,0
2018-08-31,341,352,340.75,351,16236,0
2018-09-04,351.5,355.25,347.25,354.5,4719,0
2018-09-05,356,356,351,351.75,3512,0
2018-09-06,353.5,354.5,350.75,353.5,2159,0
2018-09-07,352.75,355.75,351,354.25,692,0
2018-09-10,353.25,356,353,355.5,1251,0
2018-09-11,357.25,357.25,354.75,355.25,287,0
2018-09-12,354.25,354.5,340.5,341.5,407,1
2018-09-13,344.5,344.5,337,336.25,131,0
2018-09-14,338.5,338.75,337.5,337,57,0
2018-09-17,351,351.75,347.75,348,132646,0
2018-09-18,348,348.75,342.5,343.25,183868,0
2018-09-19,343,346.75,343,345.75,136848,0
2018-09-20,345.25,356.25,344.75,352.5,250052,0
2018-09-21,352.5,357.75,352.25,357.25,145144,0
2018-09-24,357.25,362,355.75,360.5,133943,0
2018-09-25,360.25,364.25,357.5,363.75,172187,0
2018-09-26,363.5,364.75,361.25,363,124475,0
2018-09-27,363,365.75,361.25,364.75,98635,0
2018-09-28,364.5,366.75,354.5,356.25,214856,0
2018-10-01,356.75,366.5,356.5,365.75,200126,0
2018-10-02,365,369,363.25,367.5,186687,0
2018-10-03,367.75,369,364.5,364.75,124940,0
2018-10-04,364.75,368.5,364.75,367.5,120370,0
2018-10-05,367.5,369.5,363,368.25,194070,0
2018-10-08,368.5,369.5,364.25,366.5,110728,0
2018-10-09,366.5,368,363.75,364.5,101910,0
2018-10-10,364.5,365.25,362,362.75,108095,0
2018-10-11,362,373,360.25,369.25,217401,1
2018-10-12,369,374,368.5,373.75,172201,0
2018-10-15,373,378.5,371.75,378.25,199007,0
2018-10-16,377.25,377.5,373.5,375.25,169779,0
2018-10-17,375,376.25,373.25,374.25,96401,0
2018-10-18,373,373.25,369.5,370.75,123059,0
2018-10-19,370.5,371,366,367,153391,0
2018-10-22,365.5,370.5,365.5,369.5,126010,0
2018-10-23,369.25,372.5,368,370.25,125062,0
2018-10-24,369.5,369.75,367.75,368.25,103535,0
2018-10-25,367.75,368.25,360.5,361,244537,0
2018-10-26,361.75,369.75,361.75,367.75,196890,0
2018-10-29,368,371.5,365.5,366.75,123341,0
2018-10-30,366.75,368,364.25,364.75,119983,0
2018-10-31,364.75,365.25,362.5,363.25,145604,0
2018-11-01,363.25,371,363,366.75,287639,0
